주상병코드,주상병명,진료년도,시도,시군구,연령,진료인원(명)
F51,비기질성수면장애,2010년,서울특별시,강북구,80대 이상,91
F51,비기질성수면장애,2010년,서울특별시,도봉구,10대 미만,8
F51,비기질성수면장애,2010년,서울특별시,도봉구,10대,19
F51,비기질성수면장애,2010년,서울특별시,도봉구,20대,113
F51,비기질성수면장애,2010년,서울특별시,도봉구,30대,164
F51,비기질성수면장애,2010년,서울특별시,도봉구,40대,241
F51,비기질성수면장애,2010년,서울특별시,도봉구,50대,372
F51,비기질성수면장애,2010년,서울특별시,도봉구,60대,328
F51,비기질성수면장애,2010년,서울특별시,도봉구,70대,308
F51,비기질성수면장애,2010년,서울특별시,도봉구,80대 이상,153
F51,비기질성수면장애,2010년,서울특별시,노원구,10대 미만,5
F51,비기질성수면장애,2010년,서울특별시,노원구,10대,28
F51,비기질성수면장애,2010년,서울특별시,노원구,20대,161
F51,비기질성수면장애,2010년,서울특별시,노원구,30대,213
F51,비기질성수면장애,2010년,서울특별시,노원구,40대,402
F51,비기질성수면장애,2010년,서울특별시,노원구,50대,504
F51,비기질성수면장애,2010년,서울특별시,노원구,60대,513
F51,비기질성수면장애,2010년,서울특별시,노원구,70대,575
F51,비기질성수면장애,2010년,서울특별시,노원구,80대 이상,217
F51,비기질성수면장애,2010년,서울특별시,은평구,10대 미만,6
F51,비기질성수면장애,2010년,서울특별시,은평구,10대,18
F51,비기질성수면장애,2010년,서울특별시,은평구,20대,129
F51,비기질성수면장애,2010년,서울특별시,은평구,30대,236
F51,비기질성수면장애,2010년,서울특별시,은평구,40대,284
F51,비기질성수면장애,2010년,서울특별시,은평구,50대,372
F51,비기질성수면장애,2010년,서울특별시,은평구,60대,442
F51,비기질성수면장애,2010년,서울특별시,은평구,70대,352
F51,비기질성수면장애,2010년,서울특별시,은평구,80대 이상,146
F51,비기질성수면장애,2010년,서울특별시,서대문구,10대 미만,11
F51,비기질성수면장애,2010년,서울특별시,서대문구,10대,15
F51,비기질성수면장애,2010년,서울특별시,서대문구,20대,105
F51,비기질성수면장애,2010년,서울특별시,서대문구,30대,158
F51,비기질성수면장애,2010년,서울특별시,서대문구,40대,221
F51,비기질성수면장애,2010년,서울특별시,서대문구,50대,294
F51,비기질성수면장애,2010년,서울특별시,서대문구,60대,320
F51,비기질성수면장애,2010년,서울특별시,서대문구,70대,291
F51,비기질성수면장애,2010년,서울특별시,서대문구,80대 이상,122
F51,비기질성수면장애,2010년,서울특별시,마포구,10대 미만,
F51,비기질성수면장애,2010년,서울특별시,마포구,10대,15
F51,비기질성수면장애,2010년,서울특별시,마포구,20대,132
F51,비기질성수면장애,2010년,서울특별시,마포구,30대,178
F51,비기질성수면장애,2010년,서울특별시,마포구,40대,209
F51,비기질성수면장애,2010년,서울특별시,마포구,50대,264
F51,비기질성수면장애,2010년,서울특별시,마포구,60대,363
F51,비기질성수면장애,2010년,서울특별시,마포구,70대,338
F51,비기질성수면장애,2010년,서울특별시,마포구,80대 이상,120
F51,비기질성수면장애,2010년,서울특별시,양천구,10대 미만,6
F51,비기질성수면장애,2010년,서울특별시,양천구,10대,36
F51,비기질성수면장애,2010년,서울특별시,양천구,20대,130
F51,비기질성수면장애,2010년,서울특별시,양천구,30대,198
F51,비기질성수면장애,2010년,서울특별시,양천구,40대,385
F51,비기질성수면장애,2010년,서울특별시,양천구,50대,487
F51,비기질성수면장애,2010년,서울특별시,양천구,60대,437
F51,비기질성수면장애,2010년,서울특별시,양천구,70대,471
F51,비기질성수면장애,2010년,서울특별시,양천구,80대 이상,230
F51,비기질성수면장애,2010년,서울특별시,강서구,10대 미만,10
F51,비기질성수면장애,2010년,서울특별시,강서구,10대,14
F51,비기질성수면장애,2010년,서울특별시,강서구,20대,174
F51,비기질성수면장애,2010년,서울특별시,강서구,30대,246
F51,비기질성수면장애,2010년,서울특별시,강서구,40대,315
F51,비기질성수면장애,2010년,서울특별시,강서구,50대,552
F51,비기질성수면장애,2010년,서울특별시,강서구,60대,484
F51,비기질성수면장애,2010년,서울특별시,강서구,70대,447
F51,비기질성수면장애,2010년,서울특별시,강서구,80대 이상,208
F51,비기질성수면장애,2010년,서울특별시,구로구,10대 미만,5
F51,비기질성수면장애,2010년,서울특별시,구로구,10대,9
F51,비기질성수면장애,2010년,서울특별시,구로구,20대,115
F51,비기질성수면장애,2010년,서울특별시,구로구,30대,169
F51,비기질성수면장애,2010년,서울특별시,구로구,40대,233
F51,비기질성수면장애,2010년,서울특별시,구로구,50대,382
F51,비기질성수면장애,2010년,서울특별시,구로구,60대,439
F51,비기질성수면장애,2010년,서울특별시,구로구,70대,273
F51,비기질성수면장애,2010년,서울특별시,구로구,80대 이상,139
F51,비기질성수면장애,2010년,서울특별시,금천구,10대 미만,
F51,비기질성수면장애,2010년,서울특별시,금천구,10대,11
F51,비기질성수면장애,2010년,서울특별시,금천구,20대,67
F51,비기질성수면장애,2010년,서울특별시,금천구,30대,120
F51,비기질성수면장애,2010년,서울특별시,금천구,40대,151
F51,비기질성수면장애,2010년,서울특별시,금천구,50대,186
F51,비기질성수면장애,2010년,서울특별시,금천구,60대,171
F51,비기질성수면장애,2010년,서울특별시,금천구,70대,125
F51,비기질성수면장애,2010년,서울특별시,금천구,80대 이상,54
F51,비기질성수면장애,2010년,서울특별시,영등포구,10대 미만,10
F51,비기질성수면장애,2010년,서울특별시,영등포구,10대,11
F51,비기질성수면장애,2010년,서울특별시,영등포구,20대,91
F51,비기질성수면장애,2010년,서울특별시,영등포구,30대,166
F51,비기질성수면장애,2010년,서울특별시,영등포구,40대,225
F51,비기질성수면장애,2010년,서울특별시,영등포구,50대,364
F51,비기질성수면장애,2010년,서울특별시,영등포구,60대,419
F51,비기질성수면장애,2010년,서울특별시,영등포구,70대,381
F51,비기질성수면장애,2010년,서울특별시,영등포구,80대 이상,127
F51,비기질성수면장애,2010년,서울특별시,동작구,10대 미만,10
F51,비기질성수면장애,2010년,서울특별시,동작구,10대,15
F51,비기질성수면장애,2010년,서울특별시,동작구,20대,116
F51,비기질성수면장애,2010년,서울특별시,동작구,30대,180
F51,비기질성수면장애,2010년,서울특별시,동작구,40대,190
F51,비기질성수면장애,2010년,서울특별시,동작구,50대,328
F51,비기질성수면장애,2010년,서울특별시,동작구,60대,357
F51,비기질성수면장애,2010년,서울특별시,동작구,70대,371
F51,비기질성수면장애,2010년,서울특별시,동작구,80대 이상,131
F51,비기질성수면장애,2010년,서울특별시,관악구,10대 미만,
F51,비기질성수면장애,2010년,서울특별시,관악구,10대,14
F51,비기질성수면장애,2010년,서울특별시,관악구,20대,201
F51,비기질성수면장애,2010년,서울특별시,관악구,30대,312
F51,비기질성수면장애,2010년,서울특별시,관악구,40대,265
F51,비기질성수면장애,2010년,서울특별시,관악구,50대,454
F51,비기질성수면장애,2010년,서울특별시,관악구,60대,436
F51,비기질성수면장애,2010년,서울특별시,관악구,70대,319
F51,비기질성수면장애,2010년,서울특별시,관악구,80대 이상,159
F51,비기질성수면장애,2010년,서울특별시,서초구,10대 미만,16
F51,비기질성수면장애,2010년,서울특별시,서초구,10대,30
F51,비기질성수면장애,2010년,서울특별시,서초구,20대,181
F51,비기질성수면장애,2010년,서울특별시,서초구,30대,271
F51,비기질성수면장애,2010년,서울특별시,서초구,40대,409
F51,비기질성수면장애,2010년,서울특별시,서초구,50대,596
F51,비기질성수면장애,2010년,서울특별시,서초구,60대,587
F51,비기질성수면장애,2010년,서울특별시,서초구,70대,584
F51,비기질성수면장애,2010년,서울특별시,서초구,80대 이상,310
F51,비기질성수면장애,2010년,서울특별시,강남구,10대 미만,20
F51,비기질성수면장애,2010년,서울특별시,강남구,10대,40
F51,비기질성수면장애,2010년,서울특별시,강남구,20대,384
F51,비기질성수면장애,2010년,서울특별시,강남구,30대,559
F51,비기질성수면장애,2010년,서울특별시,강남구,40대,576
F51,비기질성수면장애,2010년,서울특별시,강남구,50대,670
F51,비기질성수면장애,2010년,서울특별시,강남구,60대,699
F51,비기질성수면장애,2010년,서울특별시,강남구,70대,656
F51,비기질성수면장애,2010년,서울특별시,강남구,80대 이상,339
F51,비기질성수면장애,2010년,서울특별시,송파구,10대 미만,31
F51,비기질성수면장애,2010년,서울특별시,송파구,10대,25
F51,비기질성수면장애,2010년,서울특별시,송파구,20대,219
F51,비기질성수면장애,2010년,서울특별시,송파구,30대,347
F51,비기질성수면장애,2010년,서울특별시,송파구,40대,415
F51,비기질성수면장애,2010년,서울특별시,송파구,50대,712
F51,비기질성수면장애,2010년,서울특별시,송파구,60대,627
F51,비기질성수면장애,2010년,서울특별시,송파구,70대,602
F51,비기질성수면장애,2010년,서울특별시,송파구,80대 이상,283
F51,비기질성수면장애,2010년,서울특별시,강동구,10대 미만,19
F51,비기질성수면장애,2010년,서울특별시,강동구,10대,22
F51,비기질성수면장애,2010년,서울특별시,강동구,20대,158
F51,비기질성수면장애,2010년,서울특별시,강동구,30대,220
F51,비기질성수면장애,2010년,서울특별시,강동구,40대,301
F51,비기질성수면장애,2010년,서울특별시,강동구,50대,469
F51,비기질성수면장애,2010년,서울특별시,강동구,60대,427
F51,비기질성수면장애,2010년,서울특별시,강동구,70대,357
F51,비기질성수면장애,2010년,서울특별시,강동구,80대 이상,190
F51,비기질성수면장애,2010년,부산광역시,중구,10대,
F51,비기질성수면장애,2010년,부산광역시,중구,20대,16
F51,비기질성수면장애,2010년,부산광역시,중구,30대,27
F51,비기질성수면장애,2010년,부산광역시,중구,40대,36
F51,비기질성수면장애,2010년,부산광역시,중구,50대,55
F51,비기질성수면장애,2010년,부산광역시,중구,60대,52
F51,비기질성수면장애,2010년,부산광역시,중구,70대,34
F51,비기질성수면장애,2010년,부산광역시,중구,80대 이상,19
F51,비기질성수면장애,2010년,부산광역시,서구,10대,
F51,비기질성수면장애,2010년,부산광역시,서구,20대,55
F51,비기질성수면장애,2010년,부산광역시,서구,30대,76
F51,비기질성수면장애,2010년,부산광역시,서구,40대,92
F51,비기질성수면장애,2010년,부산광역시,서구,50대,143
F51,비기질성수면장애,2010년,부산광역시,서구,60대,124
F51,비기질성수면장애,2010년,부산광역시,서구,70대,88
F51,비기질성수면장애,2010년,부산광역시,서구,80대 이상,43
F51,비기질성수면장애,2010년,부산광역시,동구,10대 미만,
F51,비기질성수면장애,2010년,부산광역시,동구,10대,
F51,비기질성수면장애,2010년,부산광역시,동구,20대,31
F51,비기질성수면장애,2010년,부산광역시,동구,30대,46
F51,비기질성수면장애,2010년,부산광역시,동구,40대,67
F51,비기질성수면장애,2010년,부산광역시,동구,50대,95
F51,비기질성수면장애,2010년,부산광역시,동구,60대,109
F51,비기질성수면장애,2010년,부산광역시,동구,70대,74
F51,비기질성수면장애,2010년,부산광역시,동구,80대 이상,34
F51,비기질성수면장애,2010년,부산광역시,영도구,10대 미만,
F51,비기질성수면장애,2010년,부산광역시,영도구,10대,7
F51,비기질성수면장애,2010년,부산광역시,영도구,20대,52
F51,비기질성수면장애,2010년,부산광역시,영도구,30대,97
F51,비기질성수면장애,2010년,부산광역시,영도구,40대,120
F51,비기질성수면장애,2010년,부산광역시,영도구,50대,160
F51,비기질성수면장애,2010년,부산광역시,영도구,60대,152
F51,비기질성수면장애,2010년,부산광역시,영도구,70대,120
F51,비기질성수면장애,2010년,부산광역시,영도구,80대 이상,46
F51,비기질성수면장애,2010년,부산광역시,부산진구,10대 미만,
F51,비기질성수면장애,2010년,부산광역시,부산진구,10대,12
F51,비기질성수면장애,2010년,부산광역시,부산진구,20대,115
F51,비기질성수면장애,2010년,부산광역시,부산진구,30대,217
F51,비기질성수면장애,2010년,부산광역시,부산진구,40대,242
F51,비기질성수면장애,2010년,부산광역시,부산진구,50대,349
F51,비기질성수면장애,2010년,부산광역시,부산진구,60대,354
F51,비기질성수면장애,2010년,부산광역시,부산진구,70대,276
F51,비기질성수면장애,2010년,부산광역시,부산진구,80대 이상,112
F51,비기질성수면장애,2010년,부산광역시,동래구,10대 미만,6
F51,비기질성수면장애,2010년,부산광역시,동래구,10대,17
F51,비기질성수면장애,2010년,부산광역시,동래구,20대,81
F51,비기질성수면장애,2010년,부산광역시,동래구,30대,104
F51,비기질성수면장애,2010년,부산광역시,동래구,40대,149
F51,비기질성수면장애,2010년,부산광역시,동래구,50대,249
F51,비기질성수면장애,2010년,부산광역시,동래구,60대,229
F51,비기질성수면장애,2010년,부산광역시,동래구,70대,185
F51,비기질성수면장애,2010년,부산광역시,동래구,80대 이상,95
F51,비기질성수면장애,2010년,부산광역시,남구,10대 미만,6
F51,비기질성수면장애,2010년,부산광역시,남구,10대,14
F51,비기질성수면장애,2010년,부산광역시,남구,20대,103
F51,비기질성수면장애,2010년,부산광역시,남구,30대,149
F51,비기질성수면장애,2010년,부산광역시,남구,40대,248
F51,비기질성수면장애,2010년,부산광역시,남구,50대,327
F51,비기질성수면장애,2010년,부산광역시,남구,60대,337
F51,비기질성수면장애,2010년,부산광역시,남구,70대,301
F51,비기질성수면장애,2010년,부산광역시,남구,80대 이상,112
F51,비기질성수면장애,2010년,부산광역시,북구,10대 미만,7
F51,비기질성수면장애,2010년,부산광역시,북구,10대,16
F51,비기질성수면장애,2010년,부산광역시,북구,20대,113
F51,비기질성수면장애,2010년,부산광역시,북구,30대,103
F51,비기질성수면장애,2010년,부산광역시,북구,40대,194
F51,비기질성수면장애,2010년,부산광역시,북구,50대,297
F51,비기질성수면장애,2010년,부산광역시,북구,60대,221
F51,비기질성수면장애,2010년,부산광역시,북구,70대,182
F51,비기질성수면장애,2010년,부산광역시,북구,80대 이상,42
F51,비기질성수면장애,2010년,부산광역시,해운대구,10대 미만,12
F51,비기질성수면장애,2010년,부산광역시,해운대구,10대,22
F51,비기질성수면장애,2010년,부산광역시,해운대구,20대,177
F51,비기질성수면장애,2010년,부산광역시,해운대구,30대,276
F51,비기질성수면장애,2010년,부산광역시,해운대구,40대,334
F51,비기질성수면장애,2010년,부산광역시,해운대구,50대,395
F51,비기질성수면장애,2010년,부산광역시,해운대구,60대,397
F51,비기질성수면장애,2010년,부산광역시,해운대구,70대,347
F51,비기질성수면장애,2010년,부산광역시,해운대구,80대 이상,129
F51,비기질성수면장애,2010년,부산광역시,사하구,10대 미만,8
F51,비기질성수면장애,2010년,부산광역시,사하구,10대,8
F51,비기질성수면장애,2010년,부산광역시,사하구,20대,119
F51,비기질성수면장애,2010년,부산광역시,사하구,30대,167
F51,비기질성수면장애,2010년,부산광역시,사하구,40대,253
F51,비기질성수면장애,2010년,부산광역시,사하구,50대,378
F51,비기질성수면장애,2010년,부산광역시,사하구,60대,312
F51,비기질성수면장애,2010년,부산광역시,사하구,70대,266
F51,비기질성수면장애,2010년,부산광역시,사하구,80대 이상,99
F51,비기질성수면장애,2010년,부산광역시,금정구,10대 미만,
F51,비기질성수면장애,2010년,부산광역시,금정구,10대,9
F51,비기질성수면장애,2010년,부산광역시,금정구,20대,60
F51,비기질성수면장애,2010년,부산광역시,금정구,30대,83
F51,비기질성수면장애,2010년,부산광역시,금정구,40대,120
F51,비기질성수면장애,2010년,부산광역시,금정구,50대,201
F51,비기질성수면장애,2010년,부산광역시,금정구,60대,181
F51,비기질성수면장애,2010년,부산광역시,금정구,70대,164
F51,비기질성수면장애,2010년,부산광역시,금정구,80대 이상,68
F51,비기질성수면장애,2010년,부산광역시,강서구,10대 미만,5
F51,비기질성수면장애,2010년,부산광역시,강서구,20대,14
F51,비기질성수면장애,2010년,부산광역시,강서구,30대,26
F51,비기질성수면장애,2010년,부산광역시,강서구,40대,50
F51,비기질성수면장애,2010년,부산광역시,강서구,50대,84
F51,비기질성수면장애,2010년,부산광역시,강서구,60대,71
F51,비기질성수면장애,2010년,부산광역시,강서구,70대,46
F51,비기질성수면장애,2010년,부산광역시,강서구,80대 이상,23
F51,비기질성수면장애,2010년,부산광역시,연제구,10대 미만,
F51,비기질성수면장애,2010년,부산광역시,연제구,10대,14
F51,비기질성수면장애,2010년,부산광역시,연제구,20대,61
F51,비기질성수면장애,2010년,부산광역시,연제구,30대,99
F51,비기질성수면장애,2010년,부산광역시,연제구,40대,121
F51,비기질성수면장애,2010년,부산광역시,연제구,50대,195
F51,비기질성수면장애,2010년,부산광역시,연제구,60대,169
F51,비기질성수면장애,2010년,부산광역시,연제구,70대,217
F51,비기질성수면장애,2010년,부산광역시,연제구,80대 이상,74
F51,비기질성수면장애,2010년,부산광역시,수영구,10대 미만,5
F51,비기질성수면장애,2010년,부산광역시,수영구,10대,12
F51,비기질성수면장애,2010년,부산광역시,수영구,20대,70
F51,비기질성수면장애,2010년,부산광역시,수영구,30대,125
F51,비기질성수면장애,2010년,부산광역시,수영구,40대,124
F51,비기질성수면장애,2010년,부산광역시,수영구,50대,223
F51,비기질성수면장애,2010년,부산광역시,수영구,60대,192
F51,비기질성수면장애,2010년,부산광역시,수영구,70대,172
F51,비기질성수면장애,2010년,부산광역시,수영구,80대 이상,84
F51,비기질성수면장애,2010년,부산광역시,사상구,10대 미만,5
F51,비기질성수면장애,2010년,부산광역시,사상구,10대,18
F51,비기질성수면장애,2010년,부산광역시,사상구,20대,100
F51,비기질성수면장애,2010년,부산광역시,사상구,30대,146
F51,비기질성수면장애,2010년,부산광역시,사상구,40대,194
F51,비기질성수면장애,2010년,부산광역시,사상구,50대,215
F51,비기질성수면장애,2010년,부산광역시,사상구,60대,197
F51,비기질성수면장애,2010년,부산광역시,사상구,70대,153
F51,비기질성수면장애,2010년,부산광역시,사상구,80대 이상,53
F51,비기질성수면장애,2010년,부산광역시,기장군,10대 미만,
F51,비기질성수면장애,2010년,부산광역시,기장군,10대,6
F51,비기질성수면장애,2010년,부산광역시,기장군,20대,32
F51,비기질성수면장애,2010년,부산광역시,기장군,30대,31
F51,비기질성수면장애,2010년,부산광역시,기장군,40대,57
F51,비기질성수면장애,2010년,부산광역시,기장군,50대,70
F51,비기질성수면장애,2010년,부산광역시,기장군,60대,78
F51,비기질성수면장애,2010년,부산광역시,기장군,70대,92
F51,비기질성수면장애,2010년,부산광역시,기장군,80대 이상,30
F51,비기질성수면장애,2010년,대구광역시,중구,10대 미만,
F51,비기질성수면장애,2010년,대구광역시,중구,10대,
F51,비기질성수면장애,2010년,대구광역시,중구,20대,42
F51,비기질성수면장애,2010년,대구광역시,중구,30대,68
F51,비기질성수면장애,2010년,대구광역시,중구,40대,55
F51,비기질성수면장애,2010년,대구광역시,중구,50대,76
F51,비기질성수면장애,2010년,대구광역시,중구,60대,72
F51,비기질성수면장애,2010년,대구광역시,중구,70대,75
F51,비기질성수면장애,2010년,대구광역시,중구,80대 이상,30
F51,비기질성수면장애,2010년,대구광역시,동구,10대 미만,11
F51,비기질성수면장애,2010년,대구광역시,동구,10대,14
F51,비기질성수면장애,2010년,대구광역시,동구,20대,133
F51,비기질성수면장애,2010년,대구광역시,동구,30대,164
F51,비기질성수면장애,2010년,대구광역시,동구,40대,269
F51,비기질성수면장애,2010년,대구광역시,동구,50대,425
F51,비기질성수면장애,2010년,대구광역시,동구,60대,343
F51,비기질성수면장애,2010년,대구광역시,동구,70대,293
F51,비기질성수면장애,2010년,대구광역시,동구,80대 이상,98
F51,비기질성수면장애,2010년,대구광역시,서구,10대 미만,5
F51,비기질성수면장애,2010년,대구광역시,서구,10대,5
F51,비기질성수면장애,2010년,대구광역시,서구,20대,69
F51,비기질성수면장애,2010년,대구광역시,서구,30대,119
F51,비기질성수면장애,2010년,대구광역시,서구,40대,133
F51,비기질성수면장애,2010년,대구광역시,서구,50대,194
F51,비기질성수면장애,2010년,대구광역시,서구,60대,135
F51,비기질성수면장애,2010년,대구광역시,서구,70대,109
F51,비기질성수면장애,2010년,대구광역시,서구,80대 이상,32
F51,비기질성수면장애,2010년,대구광역시,남구,10대 미만,7
F51,비기질성수면장애,2010년,대구광역시,남구,10대,5
F51,비기질성수면장애,2010년,대구광역시,남구,20대,125
F51,비기질성수면장애,2010년,대구광역시,남구,30대,154
F51,비기질성수면장애,2010년,대구광역시,남구,40대,127
F51,비기질성수면장애,2010년,대구광역시,남구,50대,181
F51,비기질성수면장애,2010년,대구광역시,남구,60대,154
F51,비기질성수면장애,2010년,대구광역시,남구,70대,138
F51,비기질성수면장애,2010년,대구광역시,남구,80대 이상,53
F51,비기질성수면장애,2010년,대구광역시,북구,10대 미만,26
F51,비기질성수면장애,2010년,대구광역시,북구,10대,13
F51,비기질성수면장애,2010년,대구광역시,북구,20대,133
F51,비기질성수면장애,2010년,대구광역시,북구,30대,220
F51,비기질성수면장애,2010년,대구광역시,북구,40대,293
F51,비기질성수면장애,2010년,대구광역시,북구,50대,363
F51,비기질성수면장애,2010년,대구광역시,북구,60대,361
F51,비기질성수면장애,2010년,대구광역시,북구,70대,320
F51,비기질성수면장애,2010년,대구광역시,북구,80대 이상,97
F51,비기질성수면장애,2010년,대구광역시,수성구,10대 미만,11
F51,비기질성수면장애,2010년,대구광역시,수성구,10대,30
F51,비기질성수면장애,2010년,대구광역시,수성구,20대,147
F51,비기질성수면장애,2010년,대구광역시,수성구,30대,312
F51,비기질성수면장애,2010년,대구광역시,수성구,40대,438
F51,비기질성수면장애,2010년,대구광역시,수성구,50대,461
F51,비기질성수면장애,2010년,대구광역시,수성구,60대,472
F51,비기질성수면장애,2010년,대구광역시,수성구,70대,527
F51,비기질성수면장애,2010년,대구광역시,수성구,80대 이상,201
F51,비기질성수면장애,2010년,대구광역시,달서구,10대 미만,15
F51,비기질성수면장애,2010년,대구광역시,달서구,10대,14
F51,비기질성수면장애,2010년,대구광역시,달서구,20대,207
F51,비기질성수면장애,2010년,대구광역시,달서구,30대,281
F51,비기질성수면장애,2010년,대구광역시,달서구,40대,390
F51,비기질성수면장애,2010년,대구광역시,달서구,50대,512
F51,비기질성수면장애,2010년,대구광역시,달서구,60대,452
F51,비기질성수면장애,2010년,대구광역시,달서구,70대,387
F51,비기질성수면장애,2010년,대구광역시,달서구,80대 이상,139
F51,비기질성수면장애,2010년,대구광역시,달성군,10대 미만,
F51,비기질성수면장애,2010년,대구광역시,달성군,10대,6
F51,비기질성수면장애,2010년,대구광역시,달성군,20대,34
F51,비기질성수면장애,2010년,대구광역시,달성군,30대,76
F51,비기질성수면장애,2010년,대구광역시,달성군,40대,117
F51,비기질성수면장애,2010년,대구광역시,달성군,50대,128
F51,비기질성수면장애,2010년,대구광역시,달성군,60대,128
F51,비기질성수면장애,2010년,대구광역시,달성군,70대,116
F51,비기질성수면장애,2010년,대구광역시,달성군,80대 이상,44
F51,비기질성수면장애,2010년,인천광역시,중구,10대 미만,
F51,비기질성수면장애,2010년,인천광역시,중구,10대,
F51,비기질성수면장애,2010년,인천광역시,중구,20대,30
